Sl. No.,ITEM,Kolkata,Delhi,Mumbai,Chennai,Date
1,PIG IRON,69740,72570.0,75290,68440.0,2022-04-01
2,BILLETS 100 MM,69340,68330.0,70280,75420.0,2022-04-01
3,BLOOMS 150X150 MM,71500,,70920,,2022-04-01
4,PENCIL INGOTS,66170,68150.0,68440,70800.0,2022-04-01
5,WIRE RODS 6 MM,73810,,74340,82250.0,2022-04-01
6,WIRE RODS 8 MM,75210,,73750,81780.0,2022-04-01
7,ROUNDS 12 MM,76670,74340.0,81860,80020.0,2022-04-01
8,ROUNDS 16 MM,77430,74640.0,81860,80020.0,2022-04-01
9,ROUNDS 25 MM,76940,76700.0,81860,80020.0,2022-04-01
10,TMT 10 MM,80370,86080.0,81890,83740.0,2022-04-01
11,TMT 12 MM,80710,85150.0,80870,83450.0,2022-04-01
12,TMT 25 MM,80400,84850.0,80440,83450.0,2022-04-01
13,ANGLES 50X50X6 MM,74470,78870.0,79400,80400.0,2022-04-01
14,ANGLES 75X75X6 MM,73820,76610.0,78450,80400.0,2022-04-01
15,JOISTS 125X70 MM,75360,78770.0,80250,80640.0,2022-04-01
16,JOISTS 200X100 MM,76560,80690.0,80140,81640.0,2022-04-01
17,CHANNELS 75X40 MM,77250,79260.0,79900,80400.0,2022-04-01
18,CHANNELS 150X75 MM,76470,78670.0,81060,81190.0,2022-04-01
19,PLATES 6 MM,86370,87500.0,90680,93900.0,2022-04-01
20,PLATES 10 MM,86370,87500.0,92110,93900.0,2022-04-01
21,PLATES 12 MM,86990,88880.0,93160,94660.0,2022-04-01
22,PLATES 25 MM,87280,88680.0,89910,94480.0,2022-04-01
23,H. R. COILS 2.00 MM,89430,89300.0,93950,95190.0,2022-04-01
24,H. R. COILS 2.50 MM,87530,87900.0,91850,94000.0,2022-04-01
25,H. R. COILS 3.15 MM,86530,87510.0,91850,94000.0,2022-04-01
26,C. R. COILS 0.63 MM,95190,94760.0,102130,109810.0,2022-04-01
27,C. R. COILS 1.00 MM,93390,94170.0,101570,109220.0,2022-04-01
28,G. P. SHEETS 0.40 MM,105140,112940.0,110300,112170.0,2022-04-01
29,G. P. SHEETS 0.63 MM,102320,109870.0,105070,110980.0,2022-04-01
30,G. C. SHEETS 0.40 MM,105040,112230.0,114100,114940.0,2022-04-01
31,G. C. SHEETS 0.63 MM,103260,110170.0,112070,113760.0,2022-04-01
32,MELTING SCRAP HMS-1,56090,54110.0,56940,51140.0,2022-04-01
33,MELTING SCRAP HMS-II,54000,53690.0,55460,49560.0,2022-04-01
34,SPONGE IRON (COAL BASED),46680,52160.0,50740,47990.0,2022-04-01
