"S.No","Base Year","Survey Year","Survey Month","Index Value"
"1","2016","2026","Jan","148.6"
"2","2016","2026","Feb","148.5"
"3","2016","2026","Mar","149.1"
"4","2016","2025","Jan","143.2"
"5","2016","2025","Feb","142.8"
"6","2016","2025","Mar","143.0"
"7","2016","2025","Apr","143.5"
"8","2016","2025","May","144.0"
"9","2016","2025","Jun","145.0"
"10","2016","2025","Jul","146.5"
"11","2016","2025","Aug","147.1"
"12","2016","2025","Sep","147.3"
"13","2016","2025","Oct","147.7"
"14","2016","2025","Nov","148.2"
"15","2016","2025","Dec","148.2"
"16","2016","2024","Jan","138.9"
"17","2016","2024","Feb","139.2"
"18","2016","2024","Mar","138.9"
"19","2016","2024","Apr","139.4"
"20","2016","2024","May","139.9"
"21","2016","2024","Jun","141.4"
"22","2016","2024","Jul","142.7"
"23","2016","2024","Aug","142.6"
"24","2016","2024","Sep","143.3"
"25","2016","2024","Oct","144.5"
"26","2016","2024","Nov","144.5"
"27","2016","2024","Dec","143.7"
"28","2016","2023","Jan","132.8"
"29","2016","2023","Feb","132.7"
"30","2016","2023","Mar","133.3"
"31","2016","2023","Apr","134.2"
"32","2016","2023","May","134.7"
"33","2016","2023","Jun","136.4"
"34","2016","2023","Jul","139.7"
"35","2016","2023","Aug","139.2"
"36","2016","2023","Sep","137.5"
"37","2016","2023","Oct","138.4"
"38","2016","2023","Nov","139.1"
"39","2016","2023","Dec","138.8"
"40","2016","2022","Apr","127.7"
"41","2016","2022","May","129.0"
"42","2016","2022","Jun","129.2"
"43","2016","2022","Jul","129.9"
"44","2016","2022","Aug","130.2"
"45","2016","2022","Sep","131.3"
"46","2016","2022","Oct","132.5"
"47","2016","2022","Nov","132.5"
"48","2016","2022","Dec","132.3"
