date,item,kolkata,delhi,mumbai,chennai
2022-04-01,TMT 10 MM,80370,86080,81890,83740
2022-04-01,ANGLES 75X75X6 MM,73820,76610,78450,80400
2022-04-01,CHANNELS 150X75 MM,76470,78670,81060,81190
2022-04-01,PLATES 10 MM,86370,87500,92110,93900
2022-04-01,PLATES 25 MM,87280,88680,89910,94480
2022-04-16,TMT 10 MM,81600,87190,79680,83180
2022-04-16,TMT 25 MM,80780,85890,78930,82890
2022-04-16,ANGLES 75X75X6 MM,74060,79010,77780,80400
2022-04-16,CHANNELS 150X75 MM,75930,80140,80330,81190
2022-04-16,PLATES 25 MM,87820,88360,90750,95480
2022-05-02,TMT 10 MM,80870,84660,78000,82770
2022-05-02,TMT 25 MM,80200,93840,77600,82300
2022-05-02,ANGLES 75X75X6 MM,72720,77740,77600,78020
2022-05-02,CHANNELS 150X75 MM,77270,77740,81280,79100
2022-05-02,PLATES 25 MM,87260,86550,89390,94720
2022-05-17,TMT 10 MM,77120,79760,75950,81890
2022-05-17,TMT 25 MM,76750,79610,74420,81630
2022-05-17,ANGLES 75X75X6 MM,68460,74700,74200,76700
2022-05-17,CHANNELS 150X75 MM,71950,75820,77290,78480
2022-05-17,PLATES 25 MM,82400,82310,83540,94020
2022-06-01,TMT 10 MM,73050,72800,72490,74940
2022-06-01,TMT 25 MM,72750,72620,71110,74430
2022-06-01,ANGLES 75X75X6 MM,62470,70510,71260,70020
2022-06-01,CHANNELS 150X75 MM,64480,69920,74050,71790
2022-06-01,PLATES 25 MM,74500,76410,80130,88720
2022-06-15,TMT 10 MM,87140,71470,69880,71100
2022-06-15,TMT 25 MM,67220,69620,66380,70510
2022-06-15,ANGLES 75X75X6 MM,65220,69330,68560,67460
2022-06-15,CHANNELS 150X75 MM,64660,69660,71950,68800
2022-06-15,PLATES 10 MM,70870,74980,74930,76320
2022-06-15,PLATES 25 MM,72190,75760,76980,79260
2022-07-15,TMT 25 MM,85960,70160,67730,69920
2022-07-15,ANGLES 75X75X6 MM,65100,69920,69650,69230
2022-07-15,CHANNELS 150X75 MM,65040,70160,70900,87170
2022-07-15,PLATES 10 MM,69280,68920,71170,72770
2022-07-15,PLATES 25 MM,72580,72460,74360,78310
2022-09-01,TMT 10 MM,65250,68590,69210,68200
2022-09-01,TMT 25 MM,84920,67260,67330,67610
2022-09-01,ANGLES 75X75X6 MM,65630,68330,68750,68410
2022-09-01,CHANNELS 150X75 MM,65750,68500,69020,68960
2022-09-01,PLATES 10 MM,68500,66670,67650,68390
2022-09-15,TMT 25 MM,63920,86230,87630,66810
2022-09-15,ANGLES 75X75X6 MM,64720,62070,68350,68660
2022-09-15,CHANNELS 150X75 MM,64920,69210,68310,68960
2022-09-15,PLATES 10 MM,65170,66200,67950,67210
2022-09-15,PLATES 25 MM,68500,68800,72200,73980
2022-10-01,TMT 25 MM,63100,67120,85470,67610
2022-10-01,CHANNELS 150X75 MM,66000,89390,69170,68960
2022-10-01,PLATES 10 MM,66300,67070,70010,69540
2022-11-01,TMT 10 MM,65040,67490,66360,67510
2022-11-01,TMT 25 MM,64350,66380,65590,67240
2022-11-01,ANGLES 75X75X6 MM,65640,68560,67300,67420
2022-11-01,PLATES 10 MM,66040,66670,69360,69370
2022-11-01,PLATES 25 MM,68500,69430,73730,73950
2022-11-15,TMT 25 MM,62840,85640,64590,66030
2022-11-15,ANGLES 75X75X6 MM,65390,67560,66720,66540
2022-11-15,CHANNELS 150X75 MM,65170,68030,68070,66830
2022-11-15,PLATES 10 MM,65370,66670,68070,89370
2022-11-15,PLATES 25 MM,67000,69430,72200,73950
2022-12-01,TMT 10 MM,63150,66900,64290,65360
2022-12-01,TMT 25 MM,62500,66080,64390,64760
2022-12-01,CHANNELS 150X75 MM,63330,66030,66720,66830
2022-12-01,PLATES 10 MM,64700,66499,66450,87900
2022-12-20,ANGLES 75X75X6 MM,63550,65320,65120,65590
2022-12-20,CHANNELS 150X75 MM,62980,65850,68380,66140
2022-12-20,PLATES 10 MM,64000,64900,64590,65830
2023-01-04,TMT 10 MM,63450,68030,68150,66180
2023-01-04,ANGLES 75X75X6 MM,63880,67500,67680,67950
2023-01-04,PLATES 10 MM,64800,66670,67930,67180
2023-01-04,PLATES 25 MM,66650,69740,70610,72700
2023-01-16,TMT 10 MM,64670,71940,70890,68690
2023-01-16,TMT 25 MM,83850,71450,70660,68400
2023-01-16,ANGLES 75X75X6 MM,64980,68890,69050,69530
2023-01-16,PLATES 10 MM,66440,67470,70170,68890
2023-01-16,PLATES 25 MM,68170,70020,71490,72700
2023-02-15,TMT 10 MM,66090,71170,71540,71160
2023-02-15,TMT 25 MM,66210,70090,71290,70560
