month,avg_4city,Delhi,Mumbai,Chennai,Kolkata
2022-04,100.19,96.31,104.39,100.6,99.47
2022-05,98.27,94.4,102.35,98.78,97.55
2022-06,93.47,89.62,97.28,94.24,92.76
2022-07,93.06,89.62,95.63,94.24,92.76
2022-08,92.72,89.62,94.27,94.24,92.76
2022-09,92.72,89.62,94.27,94.24,92.76
2022-10,92.72,89.62,94.27,94.24,92.76
2022-11,92.72,89.62,94.27,94.24,92.76
2022-12,92.72,89.62,94.27,94.24,92.76
2023-01,92.72,89.62,94.27,94.24,92.76
2023-02,92.72,89.62,94.27,94.24,92.76
2023-03,92.72,89.62,94.27,94.24,92.76
2023-04,92.72,89.62,94.27,94.24,92.76
2023-05,92.72,89.62,94.27,94.24,92.76
2023-06,92.72,89.62,94.27,94.24,92.76
2023-07,92.72,89.62,94.27,94.24,92.76
2023-08,92.72,89.62,94.27,94.24,92.76
2023-09,92.72,89.62,94.27,94.24,92.76
2023-10,92.72,89.62,94.27,94.24,92.76
2023-11,92.72,89.62,94.27,94.24,92.76
2023-12,92.72,89.62,94.27,94.24,92.76
2024-01,92.72,89.62,94.27,94.24,92.76
2024-02,92.72,89.62,94.27,94.24,92.76
2024-03,91.62,88.52,93.11,93.2,91.66
2024-04,90.72,87.62,92.15,92.34,90.76
2024-05,90.72,87.62,92.15,92.34,90.76
2024-06,90.68,87.62,92.0,92.34,90.76
2024-07,90.42,87.62,89.97,92.34,91.76
2024-08,90.42,87.62,89.97,92.34,91.76
2024-09,90.42,87.62,89.97,92.34,91.76
2024-10,90.42,87.62,89.97,92.34,91.76
2024-11,90.45,87.67,89.97,92.39,91.76
2024-12,90.48,87.67,90.03,92.39,91.82
2025-01,90.48,87.67,90.03,92.39,91.82
2025-02,90.48,87.67,90.03,92.39,91.82
2025-03,90.48,87.67,90.03,92.39,91.82
2025-04,90.48,87.67,90.03,92.39,91.82
2025-05,90.51,87.67,90.03,92.39,91.95
2025-06,90.53,87.67,90.03,92.39,92.02
2025-07,90.53,87.67,90.03,92.39,92.02
2025-08,90.53,87.67,90.03,92.39,92.02
2025-09,90.53,87.67,90.03,92.39,92.02
2025-10,90.53,87.67,90.03,92.39,92.02
2025-11,90.53,87.67,90.03,92.39,92.02
2025-12,90.53,87.67,90.03,92.39,92.02
2026-01,90.53,87.67,90.03,92.39,92.02
2026-02,90.53,87.67,90.03,92.39,92.02
2026-03,90.53,87.67,90.03,92.39,92.02
2026-04,90.53,87.67,90.03,92.39,92.02
2026-05,93.45,90.57,93.04,95.15,95.03
2026-06,98.1,95.2,97.83,99.55,99.82
