month,cement,plant_machinery,other_materials
2022-04,133.4,80.3,152.3
2022-05,136.1,83.6,155.0
2022-06,139.0,84.5,155.4
2022-07,137.4,83.9,154.0
2022-08,137.1,84.5,153.2
2022-09,136.6,85.0,151.9
2022-10,136.7,85.2,152.9
2022-11,137.3,86.7,152.5
2022-12,137.6,85.5,150.5
2023-01,138.9,86.1,150.7
2023-02,138.9,86.6,150.9
2023-03,137.9,86.9,151.0
2023-04,138.2,87.1,151.1
2023-05,137.3,87.2,149.4
2023-06,137.4,88.4,148.9
2023-07,137.4,89.1,152.1
2023-08,137.5,88.4,152.5
2023-09,137.4,89.6,151.8
2023-10,138.8,89.2,152.5
2023-11,137.5,88.8,153.1
2023-12,138.9,88.6,151.8
2024-01,137.2,88.7,151.2
2024-02,136.2,88.8,151.2
2024-03,134.3,89.3,151.4
2024-04,133.6,89.5,152.9
2024-05,132.8,89.7,153.5
2024-06,130.3,89.4,154.0
2024-07,128.7,89.0,155.3
2024-08,127.7,88.8,154.4
2024-09,128.9,88.8,154.7
2024-10,128.8,89.2,156.7
2024-11,130.1,89.5,156.4
2024-12,130.2,90.0,155.7
2025-01,130.2,91.0,155.0
2025-02,132.8,91.4,154.9
2025-03,131.0,91.6,154.8
2025-04,130.5,92.3,154.2
2025-05,133.0,92.5,153.7
2025-06,132.8,92.7,153.7
2025-07,132.8,93.1,154.4
2025-08,133.5,92.9,155.2
2025-09,132.6,92.9,155.0
2025-10,131.3,93.0,155.1
2025-11,130.5,93.3,156.2
2025-12,130.3,93.1,157.2
2026-01,131.8,93.5,157.6
2026-02,132.3,93.5,158.4
2026-03,132.4,93.4,160.8
2026-04,133.6,93.4,167.0
